Age,gender,occupation,education,lifestyle,favorite,zone,activity,month,place
34,female,employee,graduate,family,family,Watthana,cooking,1,Cooking Studio Town in Town
63,female,business,bachelor,family,travel,Yan Nawa,cooking,1,Cooking Studio Town in Town
37,female,employee,bachelor,family,travel,Watthana,cooking,1,Cooking Studio Town in Town
51,female,business,bachelor,family,family,Lat Phrao,cooking,1,Cooking Studio Town in Town
61,female,business,bachelor,family,family,Suan Luang,cooking,1,Cooking Studio Town in Town
56,female,housewife,graduate,family,family,Bang Kapi,cooking,1,Cooking Studio Town in Town
39,female,employee,bachelor,family,concert,Bang Kho Laem,beauty,9,The Skin Doctors Central Chidlom
56,female,official,graduate,family,family,Lat Phrao,beauty,9,The Skin Doctors Central Chidlom
36,female,employee,bachelor,family,travel,Bang Kapi,beauty,9,The Skin Doctors Central Chidlom
61,female,business,bachelor,family,movie,Taling Chan,beauty,9,The Skin Doctors Central Chidlom
51,female,business,bachelor,family,movie,Khlong San,beauty,9,The Skin Doctors Central Chidlom
55,female,business,graduate,family,travel,Huai Khwang,beauty,9,The Skin Doctors Central Chidlom
54,male,employee,bachelor,family,travel,Watthana,beauty,9,The Skin Doctors Central Chidlom
45,female,business,other,family,concert,Yan Nawa,beauty,9,The Skin Doctors Central Chidlom
45,female,freelance,secondary,family,family,Saphan Sung,beauty,9,The Skin Doctors Central Chidlom
48,female,housewife,bachelor,family,movie,Din Daeng,beauty,9,The Skin Doctors Central Chidlom
47,female,housewife,bachelor,family,movie,Khlong San,beauty,9,The Skin Doctors Central Chidlom
62,female,retire,bachelor,family,travel,Prawet,beauty,9,The Skin Doctors Central Chidlom
50,female,other,secondary,family,travel,Bang Rak,beauty,9,The Skin Doctors Central Chidlom
42,female,housewife,secondary,family,family,Chom Thong,beauty,9,The Skin Doctors Central Chidlom
62,male,retire,bachelor,family,travel,Lak Si,beauty,9,The Skin Doctors Central Chidlom
39,female,employee,bachelor,family,travel,Phaya Thai,beauty,9,The Skin Doctors Central Chidlom
29,female,other,other,family,travel,Prawet,beauty,9,The Skin Doctors Central Chidlom
42,female,official,bachelor,family,travel,Thung Khru,beauty,10,The Skin Doctors Central Chidlom
55,female,official,bachelor,family,travel,Bangkok Yai,beauty,9,The Skin Doctors Central Chidlom
68,female,business,primary,family,travel,Rat Burana,concert ,8,Impact
68,female,business,primary,family,travel,Rat Burana,concert ,7,Impact
68,female,business,primary,family,travel,Rat Burana,concert ,8,Impact
56,female,housewife,primary,family,concert,Taling Chan,concert ,9,Impact
56,female,housewife,primary,family,concert,Taling Chan,concert ,8,Impact
45,male,employee,graduate,family,family,Don Mueang,concert ,7,Impact
45,male,employee,graduate,family,family,Don Mueang,concert ,8,Impact
45,male,employee,graduate,family,family,Don Mueang,concert ,9,Impact
45,male,employee,graduate,family,family,Don Mueang,concert ,9,Impact
48,female,business,bachelor,family,travel,Khlong Sam Wa,concert ,7,Impact
56,male,employee,bachelor,family,travel,Nong Khaem,concert ,7,Impact
56,male,employee,bachelor,family,travel,Nong Khaem,concert ,9,Impact
55,female,other,secondary,family,travel,Huai Khwang,concert ,7,Impact
42,male,other,graduate,family,sport,Bueng Kum,concert ,7,Impact
50,female,business,bachelor,family,travel,Bang Khun Thian,concert ,8,Impact
42,female,enterprise,bachelor,family,travel,Lat Phrao,concert ,7,Impact
41,female,employee,bachelor,family,movie,Bueng Kum,concert ,7,Impact
58,female,official,bachelor,family,concert,Chatuchak,concert ,8,Impact
30,female,housewife,secondary,family,family,Bang Na,concert ,8,Impact
52,female,business,bachelor,family,concert,Samphanthawong,concert ,8,Impact
52,female,business,bachelor,family,concert,Samphanthawong,concert ,7,Impact
54,female,business,bachelor,family,travel,Bang Rak,concert ,7,Impact
34,female,business,bachelor,family,travel,Bang Kapi,concert ,7,Impact
53,female,other,bachelor,family,travel,Sai Mai,concert ,7,Impact
